2025-05-01 09:14:06,081 INFO    MainThread:8660 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-05-01 09:14:06,082 INFO    MainThread:8660 [wandb_setup.py:_flush():68] Configure stats pid to 8660
2025-05-01 09:14:06,082 INFO    MainThread:8660 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Farjoon\.config\wandb\settings
2025-05-01 09:14:06,082 INFO    MainThread:8660 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\settings
2025-05-01 09:14:06,082 INFO    MainThread:8660 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-01 09:14:06,082 INFO    MainThread:8660 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\run-20250501_091406-Herb_Keeper 32\logs\debug.log
2025-05-01 09:14:06,083 INFO    MainThread:8660 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\run-20250501_091406-Herb_Keeper 32\logs\debug-internal.log
2025-05-01 09:14:06,083 INFO    MainThread:8660 [wandb_init.py:init():644] calling init triggers
2025-05-01 09:14:06,083 INFO    MainThread:8660 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'name': 'Herb_Keeper DDQN 32', 'checkpoint': 'Data/checkpoint32.pth', 'learning_rate': 0.002, 'epochs': 20000, 'start_epoch': 0, 'decay': 0, 'gamma': 0.95, 'batch_size': 128, 'epochs per hat update': 3, 'Model': 'DQN(\n  (linear1): Linear(in_features=19, out_features=64, bias=True)\n  (linear2): Linear(in_features=64, out_features=32, bias=True)\n  (output): Linear(in_features=32, out_features=1, bias=True)\n)', 'device': 'cpu'}
2025-05-01 09:14:06,083 INFO    MainThread:8660 [wandb_init.py:init():680] starting backend
2025-05-01 09:14:06,083 INFO    MainThread:8660 [wandb_init.py:init():684] sending inform_init request
2025-05-01 09:14:06,102 INFO    MainThread:8660 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-05-01 09:14:06,104 INFO    MainThread:8660 [wandb_init.py:init():697] backend started and connected
2025-05-01 09:14:06,106 INFO    MainThread:8660 [wandb_init.py:init():790] updated telemetry
2025-05-01 09:14:06,262 INFO    MainThread:8660 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
