2025-05-01 09:19:02,813 INFO    MainThread:1660 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-05-01 09:19:02,814 INFO    MainThread:1660 [wandb_setup.py:_flush():68] Configure stats pid to 1660
2025-05-01 09:19:02,814 INFO    MainThread:1660 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Farjoon\.config\wandb\settings
2025-05-01 09:19:02,814 INFO    MainThread:1660 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\settings
2025-05-01 09:19:02,814 INFO    MainThread:1660 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-01 09:19:02,814 INFO    MainThread:1660 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\run-20250501_091902-Herb_Keeper 32\logs\debug.log
2025-05-01 09:19:02,815 INFO    MainThread:1660 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\Farjoon\Documents\HerbsKeeper\HerbKeeper\wandb\run-20250501_091902-Herb_Keeper 32\logs\debug-internal.log
2025-05-01 09:19:02,815 INFO    MainThread:1660 [wandb_init.py:init():644] calling init triggers
2025-05-01 09:19:02,815 INFO    MainThread:1660 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'name': 'Herb_Keeper DDQN 32', 'checkpoint': 'Data/checkpoint32.pth', 'learning_rate': 0.002, 'epochs': 20000, 'start_epoch': 0, 'decay': 0, 'gamma': 0.95, 'batch_size': 128, 'epochs per hat update': 3, 'Model': 'DQN(\n  (linear1): Linear(in_features=19, out_features=64, bias=True)\n  (linear2): Linear(in_features=64, out_features=32, bias=True)\n  (output): Linear(in_features=32, out_features=1, bias=True)\n)', 'device': 'cpu'}
2025-05-01 09:19:02,815 INFO    MainThread:1660 [wandb_init.py:init():680] starting backend
2025-05-01 09:19:02,815 INFO    MainThread:1660 [wandb_init.py:init():684] sending inform_init request
2025-05-01 09:19:02,828 INFO    MainThread:1660 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-05-01 09:19:02,828 INFO    MainThread:1660 [wandb_init.py:init():697] backend started and connected
2025-05-01 09:19:02,829 INFO    MainThread:1660 [wandb_init.py:init():790] updated telemetry
2025-05-01 09:19:02,864 INFO    MainThread:1660 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-05-01 09:19:03,237 INFO    MainThread:1660 [wandb_init.py:init():874] starting run threads in backend
2025-05-01 09:19:03,311 INFO    MainThread:1660 [wandb_run.py:_console_start():2374] atexit reg
2025-05-01 09:19:03,311 INFO    MainThread:1660 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-05-01 09:19:03,311 INFO    MainThread:1660 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-05-01 09:19:03,311 INFO    MainThread:1660 [wandb_run.py:_redirect():2314] Redirects installed.
2025-05-01 09:19:03,314 INFO    MainThread:1660 [wandb_init.py:init():916] run started, returning control to user process
